scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score
A,1692,K League 2,0,1x2,home,58.15,3.7,0.4274,0.5,false,-0.5,0,1
A,1691,K League 2,0,1x2,away,143.48,7,0.3478,0.5,false,-0.5,3,2
A,1119,K League 2,0,1x2,home,48,3.7,0.4,0.5,false,-0.5,0,1
A,1118,K League 2,0,1x2,away,144.44,7,0.3492,0.5,false,-0.5,3,2
A,1835,Major League Soccer,1,over25,under,61.33,2.2,0.7333,2,true,2.4,1,0
A,1682,Liga MX,0,1x2,home,26.09,2.95,0.4274,0.5,false,-0.5,1,2
A,1672,Major League Soccer,1,btts,nao,36.46,2.3,0.5933,2,true,2.6,1,0
A,1185,Liga MX,0,1x2,home,41.4,2.95,0.4793,0.5,false,-0.5,1,2
A,1102,Major League Soccer,1,btts,nao,36.25,2.3,0.5924,2,true,2.6,1,0
A,1570,Serie B,0,1x2,away,20,3.45,0.3478,0.5,false,-0.5,1,1
A,1002,Serie B,0,1x2,away,20.48,3.45,0.3492,0.5,false,-0.5,1,1
A,1709,Primera B,0,1x2,home,11.42,2.18,0.5111,0.5,true,0.59,2,1
A,1136,Primera B,0,,,,,,,skip,,2,1
A,1547,Serie A,1,btts,nao,8.97,1.91,0.5705,2,true,1.82,0,3
A,982,Serie A,1,1x2,draw,11.43,3.4,0.3277,2,false,-2,0,3
A,1600,Liga Pro,0,1x2,home,34.64,3.15,0.4274,0.5,false,-0.5,1,2
A,1034,Liga Pro,0,1x2,home,34.38,3.15,0.4266,0.5,false,-0.5,1,2
A,1627,NWSL,0,btts,nao,7.44,2.17,0.4951,0.5,true,0.585,0,1
A,1524,Major League Soccer,1,over25,over,11.67,1.34,0.8333,2,true,0.68,6,4
A,959,Major League Soccer,1,1x2,draw,16.75,5.1,0.2289,2,false,-2,6,4
A,1058,NWSL,0,btts,nao,7.57,2.17,0.4957,0.5,true,0.585,0,1
A,1661,Serie C,0,over25,under,15.87,1.58,0.7333,0.5,false,-0.5,2,1
A,1595,Primera Division,1,,,,,,,skip,,1,2
A,1591,Primera B Nacional,1,1x2,away,20,4,0.3,2,true,6,0,1
A,1568,Serie B,0,1x2,home,15,2.25,0.5111,0.5,false,-0.5,0,2
A,1179,Serie B,0,over25,over,15.18,2.08,0.5538,0.5,false,-0.5,0,2
A,1092,Serie C,0,over25,under,9.38,1.58,0.6923,0.5,false,-0.5,2,1
A,1030,Primera Division,1,1x2,home,15.04,2.4,0.4793,2,false,-2,1,2
A,1026,Primera B Nacional,1,,,,,,,skip,,0,1
A,1590,Primera B Nacional,1,over25,over,26.19,2.65,0.4762,2,false,-2,1,1
A,1576,Primera Division,1,1x2,home,47.46,3.45,0.4274,2,false,-2,0,2
A,1567,Serie B,0,1x2,away,33,3.5,0.38,0.5,true,1.25,1,2
A,1545,Serie A,1,1x2,away,73.91,5,0.3478,2,false,-2,1,0
A,1012,Primera Division,1,1x2,home,19.4,3.45,0.3461,2,false,-2,0,2
A,1001,Serie B,0,1x2,away,38.54,3.5,0.3958,0.5,true,1.25,1,2
A,981,Serie A,1,1x2,away,74.6,5,0.3492,2,false,-2,1,0
A,1663,Premier League,1,1x2,away,122.61,6.4,0.3478,2,false,-2,3,0
A,1660,Serie C,0,1x2,away,23.48,3.55,0.3478,0.5,false,-0.5,0,0
A,1625,Primera Division,1,1x2,home,12.44,2.2,0.5111,2,false,-2,1,1
A,1624,Primera Division,1,1x2,home,11.98,2.62,0.4274,2,false,-2,0,1
A,1623,NWSL,0,btts,nao,13.01,1.84,0.6142,0.5,true,0.42,0,1
A,1589,Primera B Nacional,1,1x2,draw,11.02,3.2,0.3469,2,true,4.4,1,1
A,1523,Major League Soccer,1,1x2,draw,56.12,4.5,0.3469,2,false,-2,2,0
A,958,Major League Soccer,1,1x2,draw,47.48,4.5,0.3277,2,false,-2,2,0
