scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score,resolved_at,n_train_at_t
A,816,1. HNL,0,1x2,draw,41.53,3.25,0.4355,0.5,false,-0.5,2,0,2026-05-23T00:00:00+00:00,99
A,818,1. HNL,0,1x2,away,175,10,0.275,0.5,false,-0.5,6,3,2026-05-23T00:00:00+00:00,99
A,839,Primera Division,0,1x2,draw,32.82,3.05,0.4355,0.5,true,1.025,1,1,2026-05-23T00:00:00+00:00,99
A,842,Liga 1,0,1x2,draw,52.42,3.5,0.4355,0.5,true,1.25,1,1,2026-05-23T00:00:00+00:00,99
A,853,Liga Pro,0,1x2,away,188.75,10.5,0.275,0.5,true,4.75,2,3,2026-05-23T00:00:00+00:00,99
A,866,NWSL,0,1x2,draw,56.77,3.6,0.4355,0.5,false,-0.5,1,2,2026-05-23T00:00:00+00:00,99
A,919,Primera B,0,1x2,away,44.51,2.95,0.4899,0.5,true,0.975,0,2,2026-05-23T00:00:00+00:00,99
A,921,Liga Pro Serie B,0,1x2,draw,26.29,2.9,0.4355,0.5,true,0.95,0,0,2026-05-23T00:00:00+00:00,99
A,1401,Primera Division,0,1x2,draw,32.82,3.05,0.4355,0.5,true,1.025,1,1,2026-05-23T00:00:00+00:00,99
A,1413,Liga Pro,0,1x2,away,188.75,10.5,0.275,0.5,true,4.75,2,3,2026-05-23T00:00:00+00:00,99
A,1427,NWSL,0,1x2,draw,56.77,3.6,0.4355,0.5,false,-0.5,1,2,2026-05-23T00:00:00+00:00,99
A,1486,Primera B,0,1x2,away,47.87,2.95,0.5013,0.5,true,0.975,0,2,2026-05-23T00:00:00+00:00,99
A,1488,Liga Pro Serie B,0,1x2,draw,26.29,2.9,0.4355,0.5,true,0.95,0,0,2026-05-23T00:00:00+00:00,99
A,814,1. HNL,0,over25,over,32,1.32,1,0.5,false,-0.5,0,0,2026-05-23T00:00:00+00:00,99
A,815,1. HNL,0,1x2,draw,37.18,3.15,0.4355,0.5,false,-0.5,2,0,2026-05-23T00:00:00+00:00,99
A,817,1. HNL,0,1x2,away,26.5,4.6,0.275,0.5,false,-0.5,2,0,2026-05-23T00:00:00+00:00,99
A,828,Ligat ha'Al,0,1x2,draw,69.84,3.9,0.4355,0.5,true,1.45,2,2,2026-05-23T00:00:00+00:00,99
A,829,Ligat ha'Al,0,over25,under,48.75,2.38,0.625,0.5,true,0.69,1,1,2026-05-23T00:00:00+00:00,99
A,830,Ligat ha'Al,0,1x2,away,40.25,5.1,0.275,0.5,true,2.05,2,5,2026-05-23T00:00:00+00:00,99
A,843,Liga 1,0,1x2,draw,48.06,3.4,0.4355,0.5,true,1.2,1,1,2026-05-23T00:00:00+00:00,99
A,860,USL Championship,0,1x2,away,36.47,2.9,0.4706,0.5,false,-0.5,2,0,2026-05-23T00:30:00+00:00,99
A,1421,USL Championship,0,1x2,draw,30.65,3,0.4355,0.5,false,-0.5,2,0,2026-05-23T00:30:00+00:00,99
A,1778,Brasileiro Women,0,1x2,draw,41.53,3.25,0.4355,0.5,false,-0.5,0,1,2026-05-23T00:30:00+00:00,99
A,797,J-League,0,1x2,draw,43.71,3.3,0.4355,0.5,false,-0.5,0,1,2026-05-23T05:00:00+00:00,99
A,798,J-League,0,1x2,draw,69.84,3.9,0.4355,0.5,false,-0.5,4,2,2026-05-23T05:00:00+00:00,99
A,1360,J-League,0,1x2,draw,69.84,3.9,0.4355,0.5,false,-0.5,4,2,2026-05-23T05:00:00+00:00,99
A,1361,J-League,0,1x2,draw,43.71,3.3,0.4355,0.5,false,-0.5,0,1,2026-05-23T05:00:00+00:00,99
A,886,K League 2,0,,,,,,0,skip,,0,1,2026-05-23T07:30:00+00:00,99
A,887,K League 2,0,1x2,draw,50.24,3.45,0.4355,0.5,false,-0.5,3,2,2026-05-23T07:30:00+00:00,99
A,1450,K League 2,0,,,,,,0,skip,,0,1,2026-05-23T07:30:00+00:00,99
A,1451,K League 2,0,1x2,draw,50.24,3.45,0.4355,0.5,false,-0.5,3,2,2026-05-23T07:30:00+00:00,99
A,845,A-League,0,1x2,draw,39.35,3.2,0.4355,0.5,false,-0.5,1,0,2026-05-23T08:10:00+00:00,99
A,1408,A-League,0,1x2,draw,39.35,3.2,0.4355,0.5,false,-0.5,1,0,2026-05-23T08:10:00+00:00,99
A,799,J-League,0,1x2,draw,43.71,3.3,0.4355,0.5,false,-0.5,1,0,2026-05-23T08:30:00+00:00,99
A,1362,J-League,0,1x2,draw,43.71,3.3,0.4355,0.5,false,-0.5,1,0,2026-05-23T08:30:00+00:00,99
A,800,J-League,0,1x2,draw,82.9,4.2,0.4355,0.5,false,-0.5,4,2,2026-05-23T09:00:00+00:00,99
A,1363,J-League,0,1x2,draw,82.9,4.2,0.4355,0.5,false,-0.5,4,2,2026-05-23T09:00:00+00:00,99
A,794,Premier League,0,1x2,draw,52.42,3.5,0.4355,0.5,true,1.25,1,1,2026-05-23T10:00:00+00:00,99
A,801,J-League,0,1x2,draw,56.77,3.6,0.4355,0.5,false,-0.5,1,0,2026-05-23T10:00:00+00:00,99
A,888,K League 2,0,1x2,draw,28.47,2.95,0.4355,0.5,false,-0.5,2,3,2026-05-23T10:00:00+00:00,99
A,1357,Premier League,0,1x2,draw,52.42,3.5,0.4355,0.5,true,1.25,1,1,2026-05-23T10:00:00+00:00,99
A,1364,J-League,0,1x2,draw,56.77,3.6,0.4355,0.5,false,-0.5,1,0,2026-05-23T10:00:00+00:00,99
A,1452,K League 2,0,1x2,draw,28.47,2.95,0.4355,0.5,false,-0.5,2,3,2026-05-23T10:00:00+00:00,99
